library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
8001,synthetic_008001,batch_0033,planned,,BraTS20_Validation_100,100,27,flair,7798.0,4720.0,1.0,352,110,volume_352_slice_110.h5,1080,1080.0,1720.0,1.0,1.0,0.7399581589958159,0.3661668991166899,right,4575.0,BraTS20_Validation_100|slice_27|volume_352_slice_110.h5
8002,synthetic_008002,batch_0033,planned,,BraTS20_Validation_100,100,28,flair,8166.0,5146.0,1.0,246,47,volume_246_slice_47.h5,826,826.0,1260.0,2.0,0.9987893462469734,0.6692939710456199,0.6908932497188649,right,5000.0,BraTS20_Validation_100|slice_28|volume_246_slice_47.h5
8003,synthetic_008003,batch_0033,planned,,BraTS20_Validation_100,100,28,flair,8166.0,5146.0,2.0,257,109,volume_257_slice_109.h5,409,409.0,992.0,3.0,0.9779951100244498,0.5916154310441837,0.3453673108203496,right,5000.0,BraTS20_Validation_100|slice_28|volume_257_slice_109.h5
8004,synthetic_008004,batch_0033,planned,,BraTS20_Validation_100,100,29,flair,8740.0,5790.0,2.0,257,90,volume_257_slice_90.h5,2078,2078.0,3315.0,2.0,0.9980750721847932,0.6133613347240064,0.3452668119087793,right,5637.0,BraTS20_Validation_100|slice_29|volume_257_slice_90.h5
8005,synthetic_008005,batch_0033,planned,,BraTS20_Validation_100,100,30,flair,10137.0,6710.0,1.0,232,73,volume_232_slice_73.h5,2170,2170.0,3888.0,1.0,1.0,0.7015560225979985,0.6631702755336174,right,6548.0,BraTS20_Validation_100|slice_30|volume_232_slice_73.h5
8006,synthetic_008006,batch_0033,planned,,BraTS20_Validation_100,100,30,flair,10137.0,6710.0,2.0,329,60,volume_329_slice_60.h5,2162,2162.0,3440.0,1.0,1.0,0.6101413149919298,0.3705231867285444,right,6548.0,BraTS20_Validation_100|slice_30|volume_329_slice_60.h5
8007,synthetic_008007,batch_0033,planned,,BraTS20_Validation_100,100,31,flair,12257.0,12369.0,2.0,256,89,volume_256_slice_89.h5,2783,2783.0,4644.0,3.0,0.990298239310097,0.593662658971009,0.3436780693300778,right,12166.0,BraTS20_Validation_100|slice_31|volume_256_slice_89.h5
8008,synthetic_008008,batch_0033,planned,,BraTS20_Validation_100,100,31,flair,12257.0,12369.0,1.0,262,78,volume_262_slice_78.h5,1852,1852.0,3312.0,1.0,1.0,0.5720718074771592,0.6681660446243798,right,12166.0,BraTS20_Validation_100|slice_31|volume_262_slice_78.h5
8009,synthetic_008009,batch_0033,planned,,BraTS20_Validation_100,100,32,flair,12669.0,13017.0,1.0,265,60,volume_265_slice_60.h5,350,350.0,612.0,2.0,0.8257142857142857,0.4995457262402869,0.6446622833233712,midline,12805.0,BraTS20_Validation_100|slice_32|volume_265_slice_60.h5
8010,synthetic_008010,batch_0033,planned,,BraTS20_Validation_100,100,32,flair,12669.0,13017.0,2.0,270,82,volume_270_slice_82.h5,3435,3435.0,5723.0,2.0,0.9542940320232896,0.5191037376745659,0.3734605007521636,midline,12805.0,BraTS20_Validation_100|slice_32|volume_270_slice_82.h5
8011,synthetic_008011,batch_0033,planned,,BraTS20_Validation_100,100,33,flair,12909.0,13267.0,1.0,233,74,volume_233_slice_74.h5,394,394.0,693.0,2.0,0.9974619289340102,0.7086315655332073,0.7015270904572777,right,13053.0,BraTS20_Validation_100|slice_33|volume_233_slice_74.h5
8012,synthetic_008012,batch_0033,planned,,BraTS20_Validation_100,100,33,flair,12909.0,13267.0,2.0,262,83,volume_262_slice_83.h5,1560,1560.0,3100.0,1.0,1.0,0.5995011264885742,0.660213496405965,right,13053.0,BraTS20_Validation_100|slice_33|volume_262_slice_83.h5
8013,synthetic_008013,batch_0033,planned,,BraTS20_Validation_100,100,34,flair,13142.0,13505.0,2.0,296,85,volume_296_slice_85.h5,1728,1728.0,2814.0,2.0,0.9913194444444444,0.5673911359057803,0.6278910971641097,right,13290.0,BraTS20_Validation_100|slice_34|volume_296_slice_85.h5
8014,synthetic_008014,batch_0033,planned,,BraTS20_Validation_100,100,34,flair,13142.0,13505.0,1.0,309,42,volume_309_slice_42.h5,2215,2215.0,4136.0,4.0,0.9205417607223476,0.5018200364573987,0.6520396308924507,midline,13290.0,BraTS20_Validation_100|slice_34|volume_309_slice_42.h5
