library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
5751,synthetic_005751,batch_0024,planned,,BraTS20_Validation_071,71,32,flair,13921.0,13815.0,1.0,167,56,volume_167_slice_56.h5,2075,2075.0,3700.0,3.0,0.9893975903614458,0.5169531683218228,0.6116953168321823,midline,13598.0,BraTS20_Validation_071|slice_32|volume_167_slice_56.h5
5752,synthetic_005752,batch_0024,planned,,BraTS20_Validation_071,71,33,flair,14061.0,13780.0,1.0,187,112,volume_187_slice_112.h5,1130,1130.0,1944.0,2.0,0.9982300884955752,0.5326100640574666,0.3682897026696782,midline,13563.0,BraTS20_Validation_071|slice_33|volume_187_slice_112.h5
5753,synthetic_005753,batch_0024,planned,,BraTS20_Validation_071,71,33,flair,14061.0,13780.0,2.0,196,52,volume_196_slice_52.h5,3580,3580.0,5928.0,2.0,0.9988826815642458,0.5609873541992941,0.657509174633599,right,13563.0,BraTS20_Validation_071|slice_33|volume_196_slice_52.h5
5754,synthetic_005754,batch_0024,planned,,BraTS20_Validation_071,71,34,flair,14218.0,13851.0,2.0,163,70,volume_163_slice_70.h5,1645,1645.0,2820.0,1.0,1.0,0.436176571581183,0.635990894176597,left,13632.0,BraTS20_Validation_071|slice_34|volume_163_slice_70.h5
5755,synthetic_005755,batch_0024,planned,,BraTS20_Validation_071,71,34,flair,14218.0,13851.0,1.0,182,79,volume_182_slice_79.h5,919,919.0,1900.0,2.0,0.9662676822633296,0.4709594292504587,0.6281295386562618,midline,13632.0,BraTS20_Validation_071|slice_34|volume_182_slice_79.h5
5756,synthetic_005756,batch_0024,planned,,BraTS20_Validation_071,71,35,flair,14374.0,13892.0,2.0,170,40,volume_170_slice_40.h5,1899,1899.0,3192.0,1.0,1.0,0.6026118128678163,0.669665382132415,right,13674.0,BraTS20_Validation_071|slice_35|volume_170_slice_40.h5
5757,synthetic_005757,batch_0024,planned,,BraTS20_Validation_071,71,35,flair,14374.0,13892.0,1.0,364,42,volume_364_slice_42.h5,1667,1667.0,2886.0,1.0,1.0,0.4645731941477813,0.3157753386561181,midline,13674.0,BraTS20_Validation_071|slice_35|volume_364_slice_42.h5
5758,synthetic_005758,batch_0024,planned,,BraTS20_Validation_071,71,36,flair,14536.0,13963.0,2.0,167,83,volume_167_slice_83.h5,998,998.0,2268.0,1.0,1.0,0.5139693613167758,0.6239466380459664,midline,13743.0,BraTS20_Validation_071|slice_36|volume_167_slice_83.h5
5759,synthetic_005759,batch_0024,planned,,BraTS20_Validation_071,71,36,flair,14536.0,13963.0,1.0,185,94,volume_185_slice_94.h5,947,947.0,1634.0,2.0,0.9989440337909188,0.3972597897787773,0.6047372676542969,left,13743.0,BraTS20_Validation_071|slice_36|volume_185_slice_94.h5
5760,synthetic_005760,batch_0024,planned,,BraTS20_Validation_071,71,37,flair,14657.0,14021.0,1.0,163,103,volume_163_slice_103.h5,2994,2994.0,4505.0,1.0,1.0,0.4425573601875998,0.603673176198981,left,13800.0,BraTS20_Validation_071|slice_37|volume_163_slice_103.h5
