library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
3001,synthetic_003001,batch_0013,planned,,BraTS20_Validation_036,36,15,flair,6194.0,3939.0,2.0,172,85,volume_172_slice_85.h5,492,492.0,1372.0,3.0,0.9166666666666666,0.5586539442800286,0.5624978739327142,right,3809.0,BraTS20_Validation_036|slice_15|volume_172_slice_85.h5
3002,synthetic_003002,batch_0013,planned,,BraTS20_Validation_036,36,16,flair,6255.0,3981.0,1.0,132,105,volume_132_slice_105.h5,2882,2882.0,4032.0,1.0,1.0,0.6583933170537661,0.3855513517751213,right,3849.0,BraTS20_Validation_036|slice_16|volume_132_slice_105.h5
3003,synthetic_003003,batch_0013,planned,,BraTS20_Validation_036,36,16,flair,6255.0,3981.0,2.0,165,94,volume_165_slice_94.h5,1436,1436.0,3256.0,1.0,1.0,0.6452343212783068,0.6170615727089428,right,3849.0,BraTS20_Validation_036|slice_16|volume_165_slice_94.h5
3004,synthetic_003004,batch_0013,planned,,BraTS20_Validation_036,36,17,flair,6270.0,3938.0,2.0,103,71,volume_103_slice_71.h5,1624,1624.0,2583.0,2.0,0.999384236453202,0.7370174371869653,0.6436197621452274,right,3803.0,BraTS20_Validation_036|slice_17|volume_103_slice_71.h5
3005,synthetic_003005,batch_0013,planned,,BraTS20_Validation_036,36,17,flair,6270.0,3938.0,1.0,132,87,volume_132_slice_87.h5,3786,3786.0,7296.0,3.0,0.8182778658214475,0.6701180521940556,0.417264000601202,right,3803.0,BraTS20_Validation_036|slice_17|volume_132_slice_87.h5
3006,synthetic_003006,batch_0013,planned,,BraTS20_Validation_036,36,18,flair,6440.0,3929.0,2.0,168,118,volume_168_slice_118.h5,442,442.0,2706.0,9.0,0.5361990950226244,0.6338533482269637,0.4063594539843617,right,3792.0,BraTS20_Validation_036|slice_18|volume_168_slice_118.h5
3007,synthetic_003007,batch_0013,planned,,BraTS20_Validation_036,36,18,flair,6440.0,3929.0,1.0,217,42,volume_217_slice_42.h5,643,643.0,1152.0,2.0,0.9984447900466564,0.7503855489110277,0.6483989146066099,right,3792.0,BraTS20_Validation_036|slice_18|volume_217_slice_42.h5
3008,synthetic_003008,batch_0013,planned,,BraTS20_Validation_036,36,19,flair,6629.0,3974.0,1.0,96,87,volume_96_slice_87.h5,1778,1778.0,2968.0,1.0,1.0,0.5977050985781589,0.4161462034818869,right,3834.0,BraTS20_Validation_036|slice_19|volume_96_slice_87.h5
3009,synthetic_003009,batch_0013,planned,,BraTS20_Validation_036,36,19,flair,6629.0,3974.0,2.0,356,63,volume_356_slice_63.h5,996,996.0,1665.0,2.0,0.998995983935743,0.7336122733612274,0.6493967501806389,right,3834.0,BraTS20_Validation_036|slice_19|volume_356_slice_63.h5
3010,synthetic_003010,batch_0013,planned,,BraTS20_Validation_036,36,20,flair,6944.0,4069.0,2.0,96,82,volume_96_slice_82.h5,1771,1771.0,2754.0,1.0,1.0,0.6038334959564722,0.4030321143291854,right,3929.0,BraTS20_Validation_036|slice_20|volume_96_slice_82.h5
3011,synthetic_003011,batch_0013,planned,,BraTS20_Validation_036,36,20,flair,6944.0,4069.0,1.0,172,91,volume_172_slice_91.h5,721,721.0,1566.0,2.0,0.9972260748959778,0.5695251249136776,0.568828742042375,right,3929.0,BraTS20_Validation_036|slice_20|volume_172_slice_91.h5
3012,synthetic_003012,batch_0013,planned,,BraTS20_Validation_036,36,21,flair,7265.0,4116.0,2.0,246,78,volume_246_slice_78.h5,1677,1677.0,2867.0,2.0,0.9988073941562312,0.6476947527837866,0.6430465839826548,right,3975.0,BraTS20_Validation_036|slice_21|volume_246_slice_78.h5
3013,synthetic_003013,batch_0013,planned,,BraTS20_Validation_036,36,21,flair,7265.0,4116.0,1.0,323,34,volume_323_slice_34.h5,302,302.0,552.0,1.0,1.0,0.4447199977832581,0.3506193022804733,left,3975.0,BraTS20_Validation_036|slice_21|volume_323_slice_34.h5
