library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
8751,synthetic_008751,batch_0036,planned,,BraTS20_Validation_109,109,133,flair,1807.0,158.0,1.0,34,134,volume_34_slice_134.h5,505,505.0,969.0,1.0,1.0,0.4745349848792411,0.5400223704378806,midline,149.0,BraTS20_Validation_109|slice_133|volume_34_slice_134.h5
8752,synthetic_008752,batch_0036,planned,,BraTS20_Validation_109,109,134,flair,1180.0,43.0,1.0,120,125,volume_120_slice_125.h5,499,499.0,1050.0,2.0,0.997995991983968,0.5279345301481624,0.5693898256764575,midline,41.0,BraTS20_Validation_109|slice_134|volume_120_slice_125.h5
8753,synthetic_008753,batch_0036,planned,,BraTS20_Validation_110,110,9,flair,2754.0,543.0,1.0,326,76,volume_326_slice_76.h5,1617,1617.0,2091.0,1.0,1.0,0.685121214708782,0.5675213409821896,right,502.0,BraTS20_Validation_110|slice_9|volume_326_slice_76.h5
8754,synthetic_008754,batch_0036,planned,,BraTS20_Validation_110,110,10,flair,3162.0,873.0,1.0,16,122,volume_16_slice_122.h5,549,549.0,1968.0,5.0,0.8233151183970856,0.6199632652750151,0.4303755020539436,right,822.0,BraTS20_Validation_110|slice_10|volume_16_slice_122.h5
8755,synthetic_008755,batch_0036,planned,,BraTS20_Validation_110,110,11,flair,3407.0,1093.0,1.0,199,112,volume_199_slice_112.h5,1686,1686.0,2496.0,3.0,0.9988137603795968,0.67203700670548,0.4071457287928647,right,1026.0,BraTS20_Validation_110|slice_11|volume_199_slice_112.h5
8756,synthetic_008756,batch_0036,planned,,BraTS20_Validation_110,110,12,flair,3605.0,1292.0,1.0,31,78,volume_31_slice_78.h5,1179,1179.0,3038.0,2.0,0.9991518235793044,0.6601474194498564,0.5672525826794568,right,1220.0,BraTS20_Validation_110|slice_12|volume_31_slice_78.h5
8757,synthetic_008757,batch_0036,planned,,BraTS20_Validation_110,110,13,flair,3887.0,1560.0,1.0,350,67,volume_350_slice_67.h5,1730,1730.0,2451.0,1.0,1.0,0.6915132899605776,0.4078820712506348,right,1483.0,BraTS20_Validation_110|slice_13|volume_350_slice_67.h5
8758,synthetic_008758,batch_0036,planned,,BraTS20_Validation_110,110,14,flair,4143.0,1760.0,1.0,24,114,volume_24_slice_114.h5,357,357.0,924.0,2.0,0.9803921568627452,0.7134301419312494,0.6398978001242337,right,1677.0,BraTS20_Validation_110|slice_14|volume_24_slice_114.h5
8759,synthetic_008759,batch_0036,planned,,BraTS20_Validation_110,110,15,flair,4404.0,1975.0,1.0,178,100,volume_178_slice_100.h5,1460,1460.0,2150.0,1.0,1.0,0.7112196939301886,0.3768326932997077,right,1884.0,BraTS20_Validation_110|slice_15|volume_178_slice_100.h5
8760,synthetic_008760,batch_0036,planned,,BraTS20_Validation_110,110,16,flair,4626.0,2100.0,1.0,216,83,volume_216_slice_83.h5,2100,2100.0,4096.0,3.0,0.979047619047619,0.7222295277943813,0.5819027694759913,right,2007.0,BraTS20_Validation_110|slice_16|volume_216_slice_83.h5
